# x_ref_m;y_ref_m;width_right_m;width_left_m;x_normvec_m;y_normvec_m;alpha_m;s_racetraj_m;psi_racetraj_rad;kappa_racetraj_radpm;vx_racetraj_mps;ax_racetraj_mps2;banking_rad;s_ref_m;psi_ref_rad;kappa_ref_radpm;dkappa_ref_radpm2
-30.3706180;-121.8253220;-7.2987510;7.2585370;-0.1393540;0.9902426;-1.1567940;0.0000000;0.1347390;-0.0000720;62.1067490;2.3014120;0.0003210;0.0000000;0.1398090;0.0000010;-0.0000000
-29.8755220;-121.7556480;-7.2968380;7.2593450;-0.1393550;0.9902425;-1.1596051;0.4999600;0.1347020;-0.0000720;62.1252590;2.2979920;0.0003180;0.4999740;0.1398100;0.0000020;0.0000020
-29.3804260;-121.6859740;-7.2933060;7.2602140;-0.1393560;0.9902424;-1.1624336;0.9999200;0.1346660;-0.0000720;62.1437350;2.2944540;0.0003160;0.9999490;0.1398110;0.0000020;0.0000000
-28.8853310;-121.6163000;-7.2884140;7.2610830;-0.1393570;0.9902422;-1.1652820;1.4998810;0.1346300;-0.0000720;62.1621780;2.2909190;0.0003130;1.4999230;0.1398120;0.0000030;0.0000020
-28.3902350;-121.5466250;-7.2825080;7.2618990;-0.1393589;0.9902419;-1.1681483;1.9998410;0.1345940;-0.0000720;62.1805860;2.2873900;0.0003100;1.9998970;0.1398140;0.0000040;0.0000020
-27.8951400;-121.4769480;-7.2759800;7.2626190;-0.1393609;0.9902417;-1.1710356;2.4998010;0.1345580;-0.0000720;62.1989610;2.2838650;0.0003070;2.4998720;0.1398160;0.0000040;0.0000000
-27.4000440;-121.4072710;-7.2692310;7.2632110;-0.1393629;0.9902414;-1.1739411;2.9997610;0.1345220;-0.0000720;62.2173020;2.2803450;0.0003040;2.9998460;0.1398180;0.0000050;0.0000020
-26.9049490;-121.3375930;-7.2626380;7.2636540;-0.1393649;0.9902411;-1.1768668;3.4997210;0.1344860;-0.0000720;62.2356100;2.2768300;0.0003010;3.4998200;0.1398200;0.0000050;0.0000000
-26.4098540;-121.2679130;-7.2565280;7.2639330;-0.1393678;0.9902407;-1.1798111;3.9996810;0.1344500;-0.0000720;62.2538840;2.2733200;0.0002970;3.9997950;0.1398230;0.0000060;0.0000020
-25.9147590;-121.1982320;-7.2511580;7.2640400;-0.1393708;0.9902403;-1.1827757;4.4996420;0.1344150;-0.0000710;62.2721240;2.2698150;0.0002930;4.4997690;0.1398260;0.0000060;0.0000000
-25.4196650;-121.1285490;-7.2467030;7.2639660;-0.1393738;0.9902398;-1.1857595;4.9996020;0.1343790;-0.0000710;62.2903310;2.2663150;0.0002900;4.9997430;0.1398290;0.0000070;0.0000020
-24.9245710;-121.0588650;-7.2432610;7.2636990;-0.1393777;0.9902393;-1.1887630;5.4995620;0.1343430;-0.0000710;62.3085040;2.2628200;0.0002860;5.4997180;0.1398330;0.0000070;0.0000000
-24.4294760;-120.9891780;-7.2408470;7.2632210;-0.1393817;0.9902387;-1.1917865;5.9995220;0.1343080;-0.0000710;62.3266450;2.2593300;0.0002820;5.9996920;0.1398370;0.0000080;0.0000020
-23.9343830;-120.9194900;-7.2394080;7.2625110;-0.1393857;0.9902382;-1.1948293;6.4994820;0.1342720;-0.0000710;62.3447520;2.2558450;0.0002770;6.4996660;0.1398410;0.0000080;0.0000000
-23.4392890;-120.8498000;-7.2388300;7.2615480;-0.1393896;0.9902376;-1.1978921;6.9994420;0.1342370;-0.0000710;62.3628250;2.2523650;0.0002730;6.9996410;0.1398450;0.0000080;0.0000000
